調價日期,家用液化石油氣_經銷商_每公斤元,工業用丙烷_每公斤元,工業用丙丁烷_每公斤元,工業用丁烷_每公斤元,民營加氣站_每公斤元,一般民眾_每公斤元
20150602,23.559999,26.25,26.25,26.450001,25.65,18.4
20150802,23.16,25.85,25.85,26.049999,25.25,18.200001
20150902,20.26,22.950001,22.950001,23.15,22.35,16.6
20151002,21.459999,24.15,24.15,24.35,23.549999,17.200001
20151102,23.16,25.85,25.85,26.049999,25.25,18.200001
20151202,24.860001,27.549999,27.549999,27.75,26.950001,19.1
20160102,20.959999,23.65,23.65,23.85,23.049999,17
20160105,20.959999,23.65,23.65,23.85,22.85,16.9
20160202,17.959999,20.65,20.65,20.85,19.85,15.2
20160302,17.559999,20.25,20.25,20.450001,19.450001,15
20160402,18.059999,20.75,20.75,20.950001,19.950001,15.3
20160502,18.360001,21.049999,21.049999,21.25,20.25,15.5
20160702,16.26,18.950001,18.950001,19.15,18.15,14.3
20160802,15.46,18.15,18.15,18.35,17.35,13.9
20160902,15.86,18.549999,18.549999,18.75,17.75,14.1
20161002,17.76,20.450001,20.450001,20.65,19.65,15.1
20161102,18.76,21.450001,21.450001,21.65,20.65,15.7
20170102,19.76,22.450001,22.450001,22.65,21.65,16.200001
20170702,18.059999,20.75,20.75,20.950001,19.950001,15.3
20170802,21.459999,24.15,24.15,24.35,23.35,17.1
20170902,23.360001,26.049999,26.049999,26.25,25.25,18.200001
20171002,26.959999,29.65,29.65,29.85,28.85,20.1
20180202,24.26,26.950001,26.950001,27.15,26.15,18.700001
20180302,22.459999,25.15,25.15,25.35,24.35,17.700001
20180502,23.360001,26.049999,26.049999,26.25,25.25,18.200001
20180702,23.66,26.35,26.35,26.549999,25.549999,18.299999
20180802,25.459999,28.15,28.15,28.35,27.35,19.299999
20181002,27.059999,29.75,29.75,29.950001,28.950001,20.200001
20181102,24.559999,27.25,27.25,27.450001,26.450001,18.799999
20181202,22.360001,25.049999,25.049999,25.25,24.25,17.6
20190102,21.959999,24.65,24.65,24.85,23.85,17.4
20190302,23.860001,26.549999,26.549999,26.75,25.75,18.4
20190402,25.059999,27.75,27.75,27.950001,26.950001,19.1
20190502,25.959999,28.65,28.65,28.85,27.85,19.6
20190602,22.959999,25.65,25.65,25.85,24.85,18
20190702,21.360001,24.049999,24.049999,24.25,23.25,17.1
20190902,20.459999,23.15,23.15,23.35,22.35,16.6
20200302,19.059999,21.75,21.75,21.950001,20.950001,15.8
20200402,14.06,16.75,16.75,16.950001,15.95,13.1
20201002,14.46,17.15,17.15,17.35,16.35,13.3
20201102,15.96,18.65,18.65,18.85,17.85,14.1
20201202,16.860001,19.549999,19.549999,19.75,18.75,14.6
